Data;Rodada;Mandante;Visitante;Gols_M;Gols_V;Resultado;Odds_M;Odds_E;Odds_V
25/05/2013;1;Vasco;Portuguesa;1;0;H;2,06;3,47;3,96
25/05/2013;1;Vitoria;Internacional;2;2;D;2,72;3,37;2,77
26/05/2013;1;Corinthians;Botafogo;1;1;D;1,88;3,6;4,66
26/05/2013;1;Criciuma;Bahia;3;1;H;1,8;3,59;5,23
26/05/2013;1;Gremio;Nautico;2;0;H;1,4;4,73;9,96
26/05/2013;1;Ponte Preta;Sao Paulo;0;2;A;3,21;3,27;2,45
26/05/2013;1;Santos;Flamengo;0;0;D;2,78;3,37;2,74
26/05/2013;1;Coritiba;Atletico MG;2;1;H;2,06;3,62;3,8
26/05/2013;1;Cruzeiro;Goias;5;0;H;1,58;4,33;6,26
26/05/2013;1;Fluminense;Athletico PR;2;1;H;2,36;3,22;3,45
29/05/2013;2;Athletico PR;Cruzeiro;2;2;D;2,94;3,47;2,52
29/05/2013;2;Botafogo;Santos;2;1;H;1,72;3,8;5,55
29/05/2013;2;Sao Paulo;Vasco;5;1;H;1,68;3,93;5,72
30/05/2013;2;Bahia;Coritiba;0;0;D;2,86;3,39;2,62
30/05/2013;2;Flamengo;Ponte Preta;0;2;A;1,71;3,75;5,72
30/05/2013;2;Nautico;Vitoria;0;3;A;2,45;3,39;3,1
30/05/2013;2;Goias;Corinthians;1;1;D;3,14;3,35;2,45
30/05/2013;2;Internacional;Criciuma;2;0;H;1,55;4,3;6,72
01/06/2013;3;Athletico PR;Flamengo;2;2;D;2,59;3,31;2,97
01/06/2013;3;Botafogo;Cruzeiro;2;1;H;2,33;3,44;3,28
01/06/2013;3;Santos;Gremio;1;1;D;2,86;3,26;2,7
01/06/2013;3;Goias;Coritiba;1;1;D;2,24;3,55;3,37
01/06/2013;3;Vitoria;Vasco;2;0;H;1,81;3,7;4,9
02/06/2013;3;Corinthians;Ponte Preta;1;0;H;1,59;4,11;6,54
02/06/2013;3;Atletico MG;Sao Paulo;0;0;D;2;3,58;4,05
02/06/2013;3;Fluminense;Criciuma;3;0;H;1,68;4;5,53
02/06/2013;3;Internacional;Bahia;1;2;A;1,47;4,34;8,94
02/06/2013;3;Nautico;Portuguesa;2;2;D;2,27;3,36;3,45
