Date;Season;Home;Away;HG;AG;Res;PH;PD;PA
19/04/2014;1;Fluminense;Figueirense;3;0;H;1,55;4,23;7,02
19/04/2014;1;Internacional;Vitoria;1;0;H;1,51;4,41;7,41
20/04/2014;1;Chapecoense;Coritiba;0;0;D;2,48;3,3;3,15
20/04/2014;1;Atletico MG;Corinthians;0;0;D;2,48;3,19;3,24
20/04/2014;1;Athletico PR;Gremio;1;0;H;3,53;3,4;2,23
20/04/2014;1;Bahia;Cruzeiro;1;2;A;2,58;3,43;2,89
20/04/2014;1;Sao Paulo;Botafogo;3;0;H;1,79;3,69;5,06
20/04/2014;1;Criciuma;Palmeiras;1;2;A;3,13;3,33;2,47
20/04/2014;1;Flamengo;Goias;0;0;D;2,28;3,33;3,49
20/04/2014;1;Santos;Sport;1;1;D;1,37;5,12;9,68
26/04/2014;2;Coritiba;Santos;0;0;D;2,46;3,34;3,14
27/04/2014;2;Palmeiras;Fluminense;0;1;A;2,42;3,33;3,2
27/04/2014;2;Botafogo;Internacional;2;2;D;2,77;3,31;2,76
27/04/2014;2;Corinthians;Flamengo;2;0;H;1,94;3,31;4,79
27/04/2014;2;Cruzeiro;Sao Paulo;1;1;D;2,21;3,4;3,58
27/04/2014;2;Vitoria;Athletico PR;2;2;D;2,15;3,48;3,72
27/04/2014;2;Figueirense;Bahia;0;2;A;3,24;3,38;2,38
27/04/2014;2;Goias;Criciuma;1;0;H;1,85;3,53;5
27/04/2014;2;Gremio;Atletico MG;2;1;H;2,45;3,32;3,16
27/04/2014;2;Sport;Chapecoense;2;1;H;1,85;3,61;4,85
03/05/2014;3;Athletico PR;Cruzeiro;2;3;A;3,03;3,46;2,46
03/05/2014;3;Santos;Gremio;0;0;D;2,17;3,3;3,82
03/05/2014;3;Sao Paulo;Coritiba;2;2;D;1,68;3,88;5,77
04/05/2014;3;Fluminense;Vitoria;1;2;A;1,38;5,01;10,01
04/05/2014;3;Bahia;Botafogo;1;0;H;2,32;3,3;3,42
04/05/2014;3;Criciuma;Figueirense;1;0;H;1,88;3,66;4,53
04/05/2014;3;Flamengo;Palmeiras;4;2;H;2,29;3,39;3,41
04/05/2014;3;Internacional;Sport;2;1;H;1,36;5,2;10,55
04/05/2014;3;Atletico MG;Goias;0;1;A;1,93;3,56;4,46
04/05/2014;3;Chapecoense;Corinthians;0;1;A;3,84;3,11;2,26
10/05/2014;4;Internacional;Athletico PR;2;1;H;1,56;4,27;6,67
10/05/2014;4;Palmeiras;Goias;2;0;H;2,04;3,39;4,15
11/05/2014;4;Botafogo;Criciuma;6;0;H;1,61;3,95;6,68
11/05/2014;4;Atletico MG;Cruzeiro;2;1;H;2,19;3,38;3,67
11/05/2014;4;Chapecoense;Gremio;1;2;A;3,91;3,14;2,23
11/05/2014;4;Fluminense;Flamengo;2;0;H;2,14;3,39;3,78
11/05/2014;4;Sao Paulo;Corinthians;1;1;D;2,81;3,08;2,9
11/05/2014;4;Bahia;Vitoria;1;1;D;2,41;3,29;3,27
11/05/2014;4;Coritiba;Sport;0;1;A;1,55;4,48;6,33
11/05/2014;4;Figueirense;Santos;0;2;A;5,72;3,98;1,67
15/05/2014;5;Goias;Botafogo;2;0;H;3,86;3,39;2,13
17/05/2014;5;Cruzeiro;Coritiba;3;2;H;1,46;4,65;7,92
18/05/2014;5;Athletico PR;Chapecoense;1;1;D;1,71;3,85;5,52
18/05/2014;5;Corinthians;Figueirense;0;1;A;1,32;5,38;12,7
18/05/2014;5;Flamengo;Sao Paulo;0;2;A;2,48;3,33;3,11
18/05/2014;5;Gremio;Fluminense;1;0;H;2,09;3,24;4,24
18/05/2014;5;Criciuma;Internacional;0;0;D;3,42;3,41;2,27
18/05/2014;5;Santos;Atletico MG;1;2;A;2,49;3,42;3,03
18/05/2014;5;Vitoria;Palmeiras;0;1;A;2,28;3,37;3,44
21/05/2014;6;Coritiba;Internacional;1;1;D;2,43;3,45;3,08
21/05/2014;6;Flamengo;Bahia;1;1;D;1,88;3,76;4,4
22/05/2014;6;Criciuma;Chapecoense;1;0;H;2,1;3,59;3,69
22/05/2014;6;Cruzeiro;Sport;2;0;H;1,31;5,92;10,62
22/05/2014;6;Corinthians;Athletico PR;1;1;D;1,64;3,85;6,4
22/05/2014;6;Fluminense;Sao Paulo;5;2;H;2,4;3,34;3,23
22/05/2014;6;Gremio;Botafogo;2;1;H;1,88;3,71;4,49
22/05/2014;6;Goias;Santos;2;2;D;1,99;3,51;4,22
22/05/2014;6;Palmeiras;Figueirense;1;0;H;1,58;4,08;6,76
23/05/2014;6;Vitoria;Atletico MG;2;3;A;2,43;3,37;3,15
24/05/2014;7;Bahia;Fluminense;0;1;A;4,66;3,5;1,91
25/05/2014;7;Sao Paulo;Gremio;1;0;H;2,08;3,48;3,95
25/05/2014;7;Athletico PR;Coritiba;2;0;H;2,94;3,33;2,6
25/05/2014;7;Figueirense;Goias;0;1;A;2,76;3,29;2,77
25/05/2014;7;Santos;Flamengo;0;0;D;2,22;3,21;3,75
25/05/2014;7;Sport;Corinthians;1;4;A;2,92;3,08;2,79
25/05/2014;7;Atletico MG;Criciuma;0;0;D;1,65;4;5,96
25/05/2014;7;Botafogo;Vitoria;1;1;D;1,86;3,95;4,25
25/05/2014;7;Chapecoense;Palmeiras;2;0;H;2,49;3,27;3,15
25/05/2014;7;Internacional;Cruzeiro;1;3;A;2,52;3,42;2,97
28/05/2014;8;Criciuma;Coritiba;1;0;H;2,42;3,33;3,21
28/05/2014;8;Palmeiras;Botafogo;0;2;A;2,41;3,28;3,27
28/05/2014;8;Sport;Gremio;0;0;D;3,86;3,47;2,09
29/05/2014;8;Goias;Vitoria;0;0;D;1,95;3,68;4,14
29/05/2014;8;Internacional;Chapecoense;2;0;H;1,63;3,87;6,43
29/05/2014;8;Atletico MG;Fluminense;2;0;H;2,54;3,37;2,63
29/05/2014;8;Athletico PR;Sao Paulo;2;2;D;2,94;3,44;2,53
29/05/2014;8;Corinthians;Cruzeiro;1;0;H;2,38;3,37;3,25
29/05/2014;8;Flamengo;Figueirense;1;1;D;1,76;3,64;5,52
30/05/2014;8;Bahia;Santos;0;2;A;2,35;3,12;3,59
31/05/2014;9;Coritiba;Goias;3;0;H;2,13;3,38;3,88
31/05/2014;9;Sao Paulo;Atletico MG;2;1;H;1,73;4,06;5
01/06/2014;9;Vitoria;Sport;0;1;A;1,71;3,85;5,57
01/06/2014;9;Chapecoense;Bahia;2;1;H;2,07;3,29;4,11
01/06/2014;9;Corinthians;Botafogo;1;1;D;1,69;3,74;5,79
01/06/2014;9;Cruzeiro;Flamengo;3;0;H;1,83;3,89;4,54
01/06/2014;9;Gremio;Palmeiras;0;0;D;1,91;3,36;4,89
