Temporada;Data;Mandante;Visitante;GF;GC;Resultado;SG
2012;19/05/2012;Palmeiras;Portuguesa;1;1;D;0
2012;19/05/2012;Sport;Flamengo;1;1;D;0
2012;20/05/2012;Figueirense;Nautico;2;1;H;1
2012;20/05/2012;Botafogo;Sao Paulo;4;2;H;2
2012;20/05/2012;Corinthians;Fluminense;0;1;A;-1
2012;20/05/2012;Internacional;Coritiba;2;0;H;2
2012;20/05/2012;Ponte Preta;Atletico MG;0;1;A;-1
2012;20/05/2012;Bahia;Santos;0;0;D;0
2012;20/05/2012;Cruzeiro;Atletico GO;0;0;D;0
2012;20/05/2012;Vasco;Gremio;2;1;H;1
2012;26/05/2012;Atletico GO;Ponte Preta;1;1;D;0
2012;26/05/2012;Flamengo;Internacional;3;3;D;0
2012;26/05/2012;Portuguesa;Vasco;0;1;A;-1
2012;27/05/2012;Nautico;Cruzeiro;0;0;D;0
2012;27/05/2012;Atletico MG;Corinthians;1;0;H;1
2012;27/05/2012;Coritiba;Botafogo;2;3;A;-1
2012;27/05/2012;Santos;Sport;0;0;D;0
2012;27/05/2012;Sao Paulo;Bahia;1;0;H;1
2012;27/05/2012;Fluminense;Figueirense;2;2;D;0
2012;27/05/2012;Gremio;Palmeiras;1;0;H;1
2012;06/06/2012;Atletico GO;Gremio;0;1;A;-1
2012;06/06/2012;Sport;Palmeiras;2;1;H;1
2012;07/06/2012;Atletico MG;Bahia;1;1;D;0
2012;07/06/2012;Coritiba;Portuguesa;2;0;H;2
2012;07/06/2012;Vasco;Nautico;4;2;H;2
2012;07/06/2012;Internacional;Sao Paulo;1;0;H;1
2012;07/06/2012;Ponte Preta;Flamengo;2;2;D;0
2012;07/06/2012;Santos;Fluminense;1;1;D;0
2012;08/06/2012;Botafogo;Cruzeiro;2;3;A;-1
2012;08/06/2012;Corinthians;Figueirense;1;1;D;0
2012;09/06/2012;Flamengo;Coritiba;3;1;H;2
2012;10/06/2012;Palmeiras;Atletico MG;0;1;A;-1
2012;10/06/2012;Portuguesa;Atletico GO;2;0;H;2
2012;10/06/2012;Bahia;Vasco;1;2;A;-1
2012;10/06/2012;Fluminense;Internacional;0;0;D;0
2012;10/06/2012;Gremio;Corinthians;2;0;H;2
2012;10/06/2012;Cruzeiro;Sport;1;0;H;1
2012;10/06/2012;Figueirense;Ponte Preta;0;0;D;0
2012;10/06/2012;Nautico;Botafogo;3;2;H;1
2012;10/06/2012;Sao Paulo;Santos;1;0;H;1
2012;16/06/2012;Cruzeiro;Figueirense;1;0;H;1
2012;16/06/2012;Internacional;Botafogo;1;2;A;-1
2012;17/06/2012;Fluminense;Portuguesa;4;1;H;3
2012;17/06/2012;Bahia;Sport;2;1;H;1
2012;17/06/2012;Flamengo;Santos;1;0;H;1
2012;17/06/2012;Palmeiras;Vasco;1;1;D;0
2012;17/06/2012;Sao Paulo;Atletico MG;1;0;H;1
2012;17/06/2012;Coritiba;Atletico GO;3;0;H;3
2012;17/06/2012;Nautico;Gremio;1;0;H;1
2012;17/06/2012;Ponte Preta;Corinthians;1;0;H;1
2012;23/06/2012;Portuguesa;Sao Paulo;1;0;H;1
2012;23/06/2012;Vasco;Cruzeiro;1;3;A;-2
2012;24/06/2012;Atletico MG;Nautico;5;1;H;4
2012;24/06/2012;Corinthians;Palmeiras;2;1;H;1
2012;24/06/2012;Figueirense;Bahia;1;1;D;0
2012;24/06/2012;Gremio;Flamengo;2;0;H;2
2012;24/06/2012;Atletico GO;Fluminense;1;4;A;-3
2012;24/06/2012;Botafogo;Ponte Preta;1;2;A;-1
2012;24/06/2012;Santos;Coritiba;2;2;D;0
2012;24/06/2012;Sport;Internacional;0;2;A;-2
2012;30/06/2012;Cruzeiro;Sao Paulo;2;3;A;-1
2012;30/06/2012;Nautico;Fluminense;0;2;A;-2
2012;30/06/2012;Vasco;Ponte Preta;3;2;H;1
2012;01/07/2012;Bahia;Internacional;1;1;D;0
2012;01/07/2012;Coritiba;Sport;2;3;A;-1
2012;01/07/2012;Portuguesa;Santos;0;0;D;0
2012;01/07/2012;Flamengo;Atletico GO;3;2;H;1
2012;01/07/2012;Gremio;Atletico MG;0;1;A;-1
2012;01/07/2012;Palmeiras;Figueirense;3;1;H;2
2012;07/07/2012;Botafogo;Bahia;3;0;H;3
2012;07/07/2012;Internacional;Cruzeiro;2;1;H;1
2012;08/07/2012;Atletico GO;Nautico;0;1;A;-1
2012;08/07/2012;Figueirense;Vasco;1;1;D;0
2012;08/07/2012;Fluminense;Flamengo;1;0;H;1
2012;08/07/2012;Santos;Gremio;4;2;H;2
2012;08/07/2012;Sao Paulo;Coritiba;3;1;H;2
2012;08/07/2012;Atletico MG;Portuguesa;2;0;H;2
2012;08/07/2012;Ponte Preta;Palmeiras;1;0;H;1
2012;08/07/2012;Sport;Corinthians;1;1;D;0
2012;11/07/2012;Corinthians;Botafogo;1;3;A;-2
2012;14/07/2012;Corinthians;Nautico;2;1;H;1
2012;14/07/2012;Figueirense;Atletico MG;3;4;A;-1
2012;15/07/2012;Ponte Preta;Coritiba;4;1;H;3
2012;15/07/2012;Bahia;Flamengo;1;2;A;-1
2012;15/07/2012;Botafogo;Fluminense;1;1;D;0
2012;15/07/2012;Cruzeiro;Gremio;1;3;A;-2
2012;15/07/2012;Internacional;Santos;0;0;D;0
2012;15/07/2012;Palmeiras;Sao Paulo;1;1;D;0
2012;15/07/2012;Sport;Portuguesa;2;1;H;1
2012;15/07/2012;Vasco;Atletico GO;1;0;H;1
2012;18/07/2012;Gremio;Sport;3;1;H;2
2012;18/07/2012;Santos;Botafogo;0;0;D;0
2012;19/07/2012;Nautico;Ponte Preta;3;0;H;3
2012;19/07/2012;Portuguesa;Cruzeiro;0;2;A;-2
2012;19/07/2012;Atletico MG;Internacional;3;1;H;2
2012;19/07/2012;Flamengo;Corinthians;0;3;A;-3
2012;19/07/2012;Sao Paulo;Vasco;0;1;A;-1
2012;20/07/2012;Atletico GO;Figueirense;3;2;H;1
2012;20/07/2012;Coritiba;Palmeiras;1;1;D;0
2012;20/07/2012;Fluminense;Bahia;4;0;H;4
2012;21/07/2012;Sport;Atletico MG;1;4;A;-3
2012;21/07/2012;Vasco;Santos;2;0;H;2
2012;22/07/2012;Corinthians;Portuguesa;1;1;D;0
2012;22/07/2012;Cruzeiro;Flamengo;1;0;H;1
